City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
186,Linqiong,CN,73.22,moderate rain,30.4159,103.4609,Tianlun Tanxianglou Hotel
187,Kindu,CD,74.86,overcast clouds,-2.95,25.95,Résidence Okanda
193,Quatre Cocos,MU,75.31,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
194,Itubera,BR,74.88,overcast clouds,-13.7322,-39.1492,Pousada Baixo Sul.
196,Esmeraldas,BR,77.11,clear sky,-19.7625,-44.3139,Forasteiro Pousada
197,Umm Lajj,SA,78.91,clear sky,25.0213,37.2685,Moon light Furnished Units
201,Sao Filipe,CV,72.28,clear sky,14.8961,-24.4956,Hotel Xaguate
203,Mbanza-Ngungu,CD,74.28,overcast clouds,-5.25,14.8667,Hotel Full Business
204,Filadelfia,US,72.01,scattered clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
207,Kilindoni,TZ,80.06,scattered clouds,-7.9139,39.6668,Bustani B&B
209,Joaima,BR,83.43,scattered clouds,-16.6542,-41.0306,Pousada LAZO
211,Mao,ES,81.16,few clouds,39.8885,4.2658,ARTIEM Capri
213,Namibe,AO,74.03,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
214,Tiarei,PF,77.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
215,Laguna,US,75.02,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
220,Hithadhoo,MV,83.53,few clouds,-0.6,73.0833,Scoop Guest House
226,Jiuquan,CN,75.31,broken clouds,39.7432,98.5174,Jiuquan Hotel
228,Sajanan,TN,72.52,clear sky,37.0573,9.2426,Centre de culture du tabac sejenene
229,Bubaque,GW,78.03,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
232,Faanui,PF,80.83,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
233,Quang Ngai,VN,78.33,overcast clouds,15.1167,108.8,Central Hotel
236,Kourou,GF,86.05,overcast clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
239,Bintulu,MY,79.21,few clouds,3.1667,113.0333,900 Boutique INN
241,Islamkot,PK,83.28,clear sky,24.6997,70.177,Haji Hotel
242,Grao Mogol,BR,77.72,clear sky,-16.5594,-42.8897,Pousada do Eti
245,Betera,ES,86.97,clear sky,39.5833,-0.45,Aparthotel Wellness
246,Faya,SA,78.91,clear sky,18.3851,42.4509,املاك خالد الشعشوع
